"YYYYMMDD","Pday_mm","TmeanDay_C","TminDay_C","TmaxDay_C","Date","Year","Month","Month_Y"
19700221,0,10,3,17,1970-02-21,1970,"Feb","1970-Feb"
19700222,0,8.5,4,13,1970-02-22,1970,"Feb","1970-Feb"
19700223,0,10.2,5.5,15,1970-02-23,1970,"Feb","1970-Feb"
19700224,0,11,6,16,1970-02-24,1970,"Feb","1970-Feb"
19700225,12.6,6.8,1.5,12,1970-02-25,1970,"Feb","1970-Feb"
19700226,19.8,5.5,0,11,1970-02-26,1970,"Feb","1970-Feb"
19700227,24.3,4.2,-1.5,10,1970-02-27,1970,"Feb","1970-Feb"
19700228,0,4.5,-3,12,1970-02-28,1970,"Feb","1970-Feb"
19700301,0,4,-3,11,1970-03-01,1970,"Mar","1970-Mar"
19700302,0,5,0,10,1970-03-02,1970,"Mar","1970-Mar"
19700303,8.5,4.2,-2,10.5,1970-03-03,1970,"Mar","1970-Mar"
19700304,0,7.5,3,12,1970-03-04,1970,"Mar","1970-Mar"
19700305,18.2,6,1,11,1970-03-05,1970,"Mar","1970-Mar"
19700306,12.3,5.2,-2,12.5,1970-03-06,1970,"Mar","1970-Mar"
19700307,0,5.5,-3,14,1970-03-07,1970,"Mar","1970-Mar"
19700308,0,5.5,0,11,1970-03-08,1970,"Mar","1970-Mar"
19700309,0,4.8,-3.5,13,1970-03-09,1970,"Mar","1970-Mar"
19700310,0,3,-5,11,1970-03-10,1970,"Mar","1970-Mar"
19700311,0,4.8,-2,11.5,1970-03-11,1970,"Mar","1970-Mar"
19700312,0,4.5,-5,14,1970-03-12,1970,"Mar","1970-Mar"
19700313,0,4,-4,12,1970-03-13,1970,"Mar","1970-Mar"
19700314,0,6.5,0,13,1970-03-14,1970,"Mar","1970-Mar"
19700315,17.8,5.5,-1,12,1970-03-15,1970,"Mar","1970-Mar"
19700316,22.3,4.8,-0.5,10,1970-03-16,1970,"Mar","1970-Mar"
19700317,10,5.8,0.5,11,1970-03-17,1970,"Mar","1970-Mar"
19700318,0,9.8,3,16.5,1970-03-18,1970,"Mar","1970-Mar"
19700319,7.2,10,5,15,1970-03-19,1970,"Mar","1970-Mar"
19700320,0,11,4,18,1970-03-20,1970,"Mar","1970-Mar"
19700321,0,10.5,2,19,1970-03-21,1970,"Mar","1970-Mar"
19700322,0,13.2,4.5,22,1970-03-22,1970,"Mar","1970-Mar"
19700323,13.3,10.5,5,16,1970-03-23,1970,"Mar","1970-Mar"
19700324,0,7.8,1.5,14,1970-03-24,1970,"Mar","1970-Mar"
19700325,0,9.5,2,17,1970-03-25,1970,"Mar","1970-Mar"
19700326,3,4.8,-2.5,12,1970-03-26,1970,"Mar","1970-Mar"
19700327,9,7.2,2,12.5,1970-03-27,1970,"Mar","1970-Mar"
19700328,0,7,3,11,1970-03-28,1970,"Mar","1970-Mar"
19700329,0,7.2,-1.5,16,1970-03-29,1970,"Mar","1970-Mar"
19700330,0,8.8,0,17.5,1970-03-30,1970,"Mar","1970-Mar"
19700331,0,10,2,18,1970-03-31,1970,"Mar","1970-Mar"
19700401,0,10.5,1.5,19.5,1970-04-01,1970,"Apr","1970-Apr"
19700402,0,6.2,-2.5,15,1970-04-02,1970,"Apr","1970-Apr"
19700403,0,8.5,1,16,1970-04-03,1970,"Apr","1970-Apr"
19700404,0,7,1,13,1970-04-04,1970,"Apr","1970-Apr"
19700405,7.5,9.8,3.5,16,1970-04-05,1970,"Apr","1970-Apr"
19700406,0,6.2,-3,15.5,1970-04-06,1970,"Apr","1970-Apr"
19700407,0,7.8,2,13.5,1970-04-07,1970,"Apr","1970-Apr"
19700408,0,5.8,-1,12.5,1970-04-08,1970,"Apr","1970-Apr"
19700409,2.4,8.8,1,16.5,1970-04-09,1970,"Apr","1970-Apr"
19700410,0,8,-1,17,1970-04-10,1970,"Apr","1970-Apr"
19700411,0,11,3,19,1970-04-11,1970,"Apr","1970-Apr"
19700412,3.4,13,6,20,1970-04-12,1970,"Apr","1970-Apr"
19700413,0,14,7,21,1970-04-13,1970,"Apr","1970-Apr"
19700414,0,10,1,19,1970-04-14,1970,"Apr","1970-Apr"
19700415,0,14.2,3.5,25,1970-04-15,1970,"Apr","1970-Apr"
19700416,0,17,5,29,1970-04-16,1970,"Apr","1970-Apr"
19700417,0,16.8,7,26.5,1970-04-17,1970,"Apr","1970-Apr"
19700418,0,16,5,27,1970-04-18,1970,"Apr","1970-Apr"
19700419,0,13.2,8,18.5,1970-04-19,1970,"Apr","1970-Apr"
19700420,0,10.8,5,16.5,1970-04-20,1970,"Apr","1970-Apr"
19700421,11.8,13.8,2.5,25,1970-04-21,1970,"Apr","1970-Apr"
19700422,0,13.5,3.5,23.5,1970-04-22,1970,"Apr","1970-Apr"
19700423,0,12.2,2.5,22,1970-04-23,1970,"Apr","1970-Apr"
19700424,0,13.2,6,20.5,1970-04-24,1970,"Apr","1970-Apr"
19700425,0,15.5,9,22,1970-04-25,1970,"Apr","1970-Apr"
19700426,0,12.5,5.5,19.5,1970-04-26,1970,"Apr","1970-Apr"
19700427,0,14,6.5,21.5,1970-04-27,1970,"Apr","1970-Apr"
19700428,13.5,9.8,2,17.5,1970-04-28,1970,"Apr","1970-Apr"
19700429,45.3,8.2,0.5,16,1970-04-29,1970,"Apr","1970-Apr"
19700430,2,13.2,7,19.5,1970-04-30,1970,"Apr","1970-Apr"
19700501,0,11.2,2.5,20,1970-05-01,1970,"May","1970-May"
19700502,0,14.5,4.5,24.5,1970-05-02,1970,"May","1970-May"
19700503,0,14,3,25,1970-05-03,1970,"May","1970-May"
19700504,0,17.2,6.5,28,1970-05-04,1970,"May","1970-May"
19700505,0,17.2,8,26.5,1970-05-05,1970,"May","1970-May"
19700506,0,15.8,7.5,24,1970-05-06,1970,"May","1970-May"
19700507,15,12.8,5.5,20,1970-05-07,1970,"May","1970-May"
19700508,0,8.2,0,16.5,1970-05-08,1970,"May","1970-May"
19700509,0,11,3.5,18.5,1970-05-09,1970,"May","1970-May"
19700510,0,14.2,7,21.5,1970-05-10,1970,"May","1970-May"
19700511,0,11.5,4,19,1970-05-11,1970,"May","1970-May"
19700512,0,13,5.5,20.5,1970-05-12,1970,"May","1970-May"
19700513,0,15.2,6,24.5,1970-05-13,1970,"May","1970-May"
19700514,0,17.8,7.5,28,1970-05-14,1970,"May","1970-May"
19700515,0,14,5,23,1970-05-15,1970,"May","1970-May"
19700516,49.6,11.2,6.5,16,1970-05-16,1970,"May","1970-May"
19700517,9.4,11.8,8.5,15,1970-05-17,1970,"May","1970-May"
19700518,7.2,13,8,18,1970-05-18,1970,"May","1970-May"
19700519,0,15.5,9,22,1970-05-19,1970,"May","1970-May"
19700520,0,13.8,4.5,23,1970-05-20,1970,"May","1970-May"
19700521,0,14,7,21,1970-05-21,1970,"May","1970-May"
19700522,0,15.5,8.5,22.5,1970-05-22,1970,"May","1970-May"
19700523,0,12.2,3,21.5,1970-05-23,1970,"May","1970-May"
19700524,0,20.5,9,32,1970-05-24,1970,"May","1970-May"
19700525,0,15.5,7,24,1970-05-25,1970,"May","1970-May"
19700526,0,16.2,8,24.5,1970-05-26,1970,"May","1970-May"
19700527,0,17,9,25,1970-05-27,1970,"May","1970-May"
19700528,0,16.5,6.5,26.5,1970-05-28,1970,"May","1970-May"
19700529,0,13,5,21,1970-05-29,1970,"May","1970-May"
19700530,0,14,9,19,1970-05-30,1970,"May","1970-May"
19700531,0,17.8,9.5,26,1970-05-31,1970,"May","1970-May"
19700601,0,17.8,8.5,27,1970-06-01,1970,"Jun","1970-Jun"
19700602,0,19.5,9,30,1970-06-02,1970,"Jun","1970-Jun"
19700603,0,21.5,11,32,1970-06-03,1970,"Jun","1970-Jun"
19700604,0,24.2,16,32.5,1970-06-04,1970,"Jun","1970-Jun"
19700605,0,20.5,13,28,1970-06-05,1970,"Jun","1970-Jun"
19700606,0,18,11.5,24.5,1970-06-06,1970,"Jun","1970-Jun"
19700607,4,17,12,22,1970-06-07,1970,"Jun","1970-Jun"
19700608,9.6,17,9,25,1970-06-08,1970,"Jun","1970-Jun"
19700609,0,20.8,11,30.5,1970-06-09,1970,"Jun","1970-Jun"
19700610,0,22,14.5,29.5,1970-06-10,1970,"Jun","1970-Jun"
19700611,0,19.5,12,27,1970-06-11,1970,"Jun","1970-Jun"
19700612,0,21,13,29,1970-06-12,1970,"Jun","1970-Jun"
19700613,7,17,9,25,1970-06-13,1970,"Jun","1970-Jun"
19700614,14.3,18.8,10,27.5,1970-06-14,1970,"Jun","1970-Jun"
19700615,10.8,17,8,26,1970-06-15,1970,"Jun","1970-Jun"
19700616,6.2,18.5,9.5,27.5,1970-06-16,1970,"Jun","1970-Jun"
19700617,2.4,16.8,8.5,25,1970-06-17,1970,"Jun","1970-Jun"
19700618,16.7,16.8,11,22.5,1970-06-18,1970,"Jun","1970-Jun"
19700619,0,16.8,9.5,24,1970-06-19,1970,"Jun","1970-Jun"
19700620,0,19,11,27,1970-06-20,1970,"Jun","1970-Jun"
19700621,0,19.5,8,31,1970-06-21,1970,"Jun","1970-Jun"
19700622,0,19,12,26,1970-06-22,1970,"Jun","1970-Jun"
19700623,3.7,17.5,11,24,1970-06-23,1970,"Jun","1970-Jun"
19700624,0,18.8,10,27.5,1970-06-24,1970,"Jun","1970-Jun"
19700625,0,21,13,29,1970-06-25,1970,"Jun","1970-Jun"
19700626,0,25,16,34,1970-06-26,1970,"Jun","1970-Jun"
19700627,0,21,17,25,1970-06-27,1970,"Jun","1970-Jun"
19700628,8.9,18.2,12.5,24,1970-06-28,1970,"Jun","1970-Jun"
19700629,0,18.8,11,26.5,1970-06-29,1970,"Jun","1970-Jun"
19700630,0,20.5,13.5,27.5,1970-06-30,1970,"Jun","1970-Jun"
19700701,0,18.2,10,26.5,1970-07-01,1970,"Jul","1970-Jul"
19700702,0,21,14,28,1970-07-02,1970,"Jul","1970-Jul"
19700703,0,20.2,11,29.5,1970-07-03,1970,"Jul","1970-Jul"
19700704,0,18.8,10,27.5,1970-07-04,1970,"Jul","1970-Jul"
19700705,0,19.2,5.5,33,1970-07-05,1970,"Jul","1970-Jul"
19700706,0,27.8,17.5,38,1970-07-06,1970,"Jul","1970-Jul"
19700707,0,22.5,15,30,1970-07-07,1970,"Jul","1970-Jul"
19700708,0,21,12.5,29.5,1970-07-08,1970,"Jul","1970-Jul"
19700709,0,20.8,14.5,27,1970-07-09,1970,"Jul","1970-Jul"
19700710,0,20.5,10.5,30.5,1970-07-10,1970,"Jul","1970-Jul"
19700711,0,17.5,12.5,22.5,1970-07-11,1970,"Jul","1970-Jul"
19700712,0,21.8,13,30.5,1970-07-12,1970,"Jul","1970-Jul"
19700713,76,25.8,16,35.5,1970-07-13,1970,"Jul","1970-Jul"
19700714,9.6,21.2,16.5,26,1970-07-14,1970,"Jul","1970-Jul"
19700715,0,17.8,11.5,24,1970-07-15,1970,"Jul","1970-Jul"
19700716,0,15.5,8.5,22.5,1970-07-16,1970,"Jul","1970-Jul"
19700717,0,17,9,25,1970-07-17,1970,"Jul","1970-Jul"
19700718,0,19,11,27,1970-07-18,1970,"Jul","1970-Jul"
19700719,0,18.8,12.5,25,1970-07-19,1970,"Jul","1970-Jul"
19700720,0,16,10,22,1970-07-20,1970,"Jul","1970-Jul"
19700721,0,18,11.5,24.5,1970-07-21,1970,"Jul","1970-Jul"
19700722,0,19.8,12,27.5,1970-07-22,1970,"Jul","1970-Jul"
19700723,0,19.5,10,29,1970-07-23,1970,"Jul","1970-Jul"
19700724,0,19.8,13,26.5,1970-07-24,1970,"Jul","1970-Jul"
19700725,0,19.5,11,28,1970-07-25,1970,"Jul","1970-Jul"
19700726,0,19.8,9.5,30,1970-07-26,1970,"Jul","1970-Jul"
19700727,0,23,14,32,1970-07-27,1970,"Jul","1970-Jul"
19700728,0,22,16,28,1970-07-28,1970,"Jul","1970-Jul"
19700729,0,20,15,25,1970-07-29,1970,"Jul","1970-Jul"
19700730,0,16.5,12,21,1970-07-30,1970,"Jul","1970-Jul"
19700731,0,19,14,24,1970-07-31,1970,"Jul","1970-Jul"
19700801,0,22.5,13,32,1970-08-01,1970,"Aug","1970-Aug"
19700802,0,24.8,15.5,34,1970-08-02,1970,"Aug","1970-Aug"
19700803,59,21.5,16.5,26.5,1970-08-03,1970,"Aug","1970-Aug"
19700804,0,19.5,12,27,1970-08-04,1970,"Aug","1970-Aug"
19700805,20,18,15,21,1970-08-05,1970,"Aug","1970-Aug"
19700806,2.6,20.2,14,26.5,1970-08-06,1970,"Aug","1970-Aug"
19700807,0,20.8,13.5,28,1970-08-07,1970,"Aug","1970-Aug"
19700808,0,19.5,12,27,1970-08-08,1970,"Aug","1970-Aug"
19700809,0,17.8,10.5,25,1970-08-09,1970,"Aug","1970-Aug"
19700810,0,20.8,14,27.5,1970-08-10,1970,"Aug","1970-Aug"
19700811,0,19.8,13.5,26,1970-08-11,1970,"Aug","1970-Aug"
19700812,0,22,12,32,1970-08-12,1970,"Aug","1970-Aug"
19700813,0,20,14,26,1970-08-13,1970,"Aug","1970-Aug"
19700814,0,21.8,16,27.5,1970-08-14,1970,"Aug","1970-Aug"
19700815,0,20.8,12.5,29,1970-08-15,1970,"Aug","1970-Aug"
19700816,0,17.8,10,25.5,1970-08-16,1970,"Aug","1970-Aug"
19700817,0,20,13,27,1970-08-17,1970,"Aug","1970-Aug"
19700818,0,21.8,15,28.5,1970-08-18,1970,"Aug","1970-Aug"
19700819,0,20.8,14.5,27,1970-08-19,1970,"Aug","1970-Aug"
19700820,0,17,11,23,1970-08-20,1970,"Aug","1970-Aug"
19700821,0,16.8,12,21.5,1970-08-21,1970,"Aug","1970-Aug"
19700822,0,16.5,10,23,1970-08-22,1970,"Aug","1970-Aug"
19700823,0,15.8,11,20.5,1970-08-23,1970,"Aug","1970-Aug"
19700824,2.4,16.2,9.5,23,1970-08-24,1970,"Aug","1970-Aug"
19700825,0,21.2,10.5,32,1970-08-25,1970,"Aug","1970-Aug"
19700826,0,23.5,14,33,1970-08-26,1970,"Aug","1970-Aug"
19700827,15,22.8,12,33.5,1970-08-27,1970,"Aug","1970-Aug"
19700828,7.4,20,11.5,28.5,1970-08-28,1970,"Aug","1970-Aug"
19700829,0,20,13.5,26.5,1970-08-29,1970,"Aug","1970-Aug"
19700830,0,17.5,11,24,1970-08-30,1970,"Aug","1970-Aug"
19700831,0,19,10.5,27.5,1970-08-31,1970,"Aug","1970-Aug"
19700901,0,18.5,10,27,1970-09-01,1970,"Sep","1970-Sep"
19700902,0,19.8,11.5,28,1970-09-02,1970,"Sep","1970-Sep"
19700903,0,19.5,14,25,1970-09-03,1970,"Sep","1970-Sep"
19700904,0,19.8,15,24.5,1970-09-04,1970,"Sep","1970-Sep"
19700905,0,18,9,27,1970-09-05,1970,"Sep","1970-Sep"
19700906,0,22.2,12.5,32,1970-09-06,1970,"Sep","1970-Sep"
19700907,0,23,13,33,1970-09-07,1970,"Sep","1970-Sep"
19700908,0,17.5,11,24,1970-09-08,1970,"Sep","1970-Sep"
19700909,0,19,8,30,1970-09-09,1970,"Sep","1970-Sep"
19700910,0,14.8,12.5,17,1970-09-10,1970,"Sep","1970-Sep"
19700911,60,10.2,8,12.5,1970-09-11,1970,"Sep","1970-Sep"
19700912,0,16,6.5,25.5,1970-09-12,1970,"Sep","1970-Sep"
19700913,0,14,5,23,1970-09-13,1970,"Sep","1970-Sep"
19700914,0,17.8,7.5,28,1970-09-14,1970,"Sep","1970-Sep"
19700915,0,16.8,11.5,22,1970-09-15,1970,"Sep","1970-Sep"
19700916,0,16.8,8.5,25,1970-09-16,1970,"Sep","1970-Sep"
19700917,0,16.5,5,28,1970-09-17,1970,"Sep","1970-Sep"
19700918,0,17.2,6,28.5,1970-09-18,1970,"Sep","1970-Sep"
19700919,0,16,5,27,1970-09-19,1970,"Sep","1970-Sep"
19700920,0,17.8,6.5,29,1970-09-20,1970,"Sep","1970-Sep"
19700921,0,18.5,7,30,1970-09-21,1970,"Sep","1970-Sep"
19700922,0,17,5,29,1970-09-22,1970,"Sep","1970-Sep"
19700923,0,19,7,31,1970-09-23,1970,"Sep","1970-Sep"
19700924,0,16,8,24,1970-09-24,1970,"Sep","1970-Sep"
19700925,0,20,12,28,1970-09-25,1970,"Sep","1970-Sep"
19700926,0,20.5,11.5,29.5,1970-09-26,1970,"Sep","1970-Sep"
19700927,0,21.5,13,30,1970-09-27,1970,"Sep","1970-Sep"
19700928,0,23.5,16,31,1970-09-28,1970,"Sep","1970-Sep"
19700929,0,19.8,11.5,28,1970-09-29,1970,"Sep","1970-Sep"
19700930,0,19.8,14.5,25,1970-09-30,1970,"Sep","1970-Sep"
19701001,0,16,10,22,1970-10-01,1970,"Oct","1970-Oct"
19701002,0,18,13,23,1970-10-02,1970,"Oct","1970-Oct"
19701003,0,16,9.5,22.5,1970-10-03,1970,"Oct","1970-Oct"
19701004,0,18,11,25,1970-10-04,1970,"Oct","1970-Oct"
19701005,0,12.5,4,21,1970-10-05,1970,"Oct","1970-Oct"
19701006,0,15.5,8,23,1970-10-06,1970,"Oct","1970-Oct"
19701007,11,12,5,19,1970-10-07,1970,"Oct","1970-Oct"
19701008,0,10.2,2.5,18,1970-10-08,1970,"Oct","1970-Oct"
19701009,0,9,3,15,1970-10-09,1970,"Oct","1970-Oct"
19701010,0,11,4,18,1970-10-10,1970,"Oct","1970-Oct"
19701011,0,14,7.5,20.5,1970-10-11,1970,"Oct","1970-Oct"
19701012,0,13.5,5,22,1970-10-12,1970,"Oct","1970-Oct"
19701013,0,13.5,4,23,1970-10-13,1970,"Oct","1970-Oct"
19701014,0,13,3.5,22.5,1970-10-14,1970,"Oct","1970-Oct"
19701015,0,14,6.5,21.5,1970-10-15,1970,"Oct","1970-Oct"
19701016,0,14.2,5.5,23,1970-10-16,1970,"Oct","1970-Oct"
19701017,0,14.8,7,22.5,1970-10-17,1970,"Oct","1970-Oct"
19701018,0,11.5,3,20,1970-10-18,1970,"Oct","1970-Oct"
19701019,0,12.2,6.5,18,1970-10-19,1970,"Oct","1970-Oct"
19701020,0,10.2,7,13.5,1970-10-20,1970,"Oct","1970-Oct"
19701021,65,7.5,3,12,1970-10-21,1970,"Oct","1970-Oct"
19701022,19.8,8.5,4,13,1970-10-22,1970,"Oct","1970-Oct"
19701023,0,7.2,2,12.5,1970-10-23,1970,"Oct","1970-Oct"
19701024,0,8.2,1.5,15,1970-10-24,1970,"Oct","1970-Oct"
19701025,0,8.5,-2,19,1970-10-25,1970,"Oct","1970-Oct"
19701026,0,8,-1,17,1970-10-26,1970,"Oct","1970-Oct"
19701027,0,8.8,-1.5,19,1970-10-27,1970,"Oct","1970-Oct"
19701028,0,9.5,-1,20,1970-10-28,1970,"Oct","1970-Oct"
19701029,0,10.8,0.5,21,1970-10-29,1970,"Oct","1970-Oct"
19701030,0,14,6.5,21.5,1970-10-30,1970,"Oct","1970-Oct"
19701031,0,14.2,6,22.5,1970-10-31,1970,"Oct","1970-Oct"
19701101,0,12.8,2.5,23,1970-11-01,1970,"Nov","1970-Nov"
19701102,0,12.8,3,22.5,1970-11-02,1970,"Nov","1970-Nov"
19701103,0,12.8,2.5,23,1970-11-03,1970,"Nov","1970-Nov"
19701104,0,13.8,6,21.5,1970-11-04,1970,"Nov","1970-Nov"
19701105,0,12.5,7,18,1970-11-05,1970,"Nov","1970-Nov"
19701106,0,14,8,20,1970-11-06,1970,"Nov","1970-Nov"
19701107,0,11.2,6.5,16,1970-11-07,1970,"Nov","1970-Nov"
19701108,4.7,10.2,5.5,15,1970-11-08,1970,"Nov","1970-Nov"
19701109,0,11.8,6,17.5,1970-11-09,1970,"Nov","1970-Nov"
19701110,0,11.8,5.5,18,1970-11-10,1970,"Nov","1970-Nov"
19701111,0,13.5,7,20,1970-11-11,1970,"Nov","1970-Nov"
19701112,0,11.8,6.5,17,1970-11-12,1970,"Nov","1970-Nov"
19701113,3.2,10,5,15,1970-11-13,1970,"Nov","1970-Nov"
19701114,0,7.8,1,14.5,1970-11-14,1970,"Nov","1970-Nov"
19701115,39.4,9.5,2,17,1970-11-15,1970,"Nov","1970-Nov"
19701116,13.4,12.5,6,19,1970-11-16,1970,"Nov","1970-Nov"
19701117,0,15,12,18,1970-11-17,1970,"Nov","1970-Nov"
19701118,0,14.2,7.5,21,1970-11-18,1970,"Nov","1970-Nov"
19701119,4.7,14,8,20,1970-11-19,1970,"Nov","1970-Nov"
19701120,2.9,12.5,6,19,1970-11-20,1970,"Nov","1970-Nov"
19701121,14.4,9.8,2.5,17,1970-11-21,1970,"Nov","1970-Nov"
19701122,0,9.2,2,16.5,1970-11-22,1970,"Nov","1970-Nov"
19701123,0,13.2,7,19.5,1970-11-23,1970,"Nov","1970-Nov"
19701124,0,13.2,8,18.5,1970-11-24,1970,"Nov","1970-Nov"
19701125,0,14.8,9.5,20,1970-11-25,1970,"Nov","1970-Nov"
19701126,0,15.5,10,21,1970-11-26,1970,"Nov","1970-Nov"
19701127,0,15.5,9,22,1970-11-27,1970,"Nov","1970-Nov"
19701128,0,17.2,12,22.5,1970-11-28,1970,"Nov","1970-Nov"
19701129,8.5,15.8,12.5,19,1970-11-29,1970,"Nov","1970-Nov"
19701130,0,12.5,7,18,1970-11-30,1970,"Nov","1970-Nov"
19701201,0,9.2,3.5,15,1970-12-01,1970,"Dec","1970-Dec"
19701202,0,6.2,-1.5,14,1970-12-02,1970,"Dec","1970-Dec"
19701203,0,8.2,-2.5,19,1970-12-03,1970,"Dec","1970-Dec"
19701204,0,4.2,-3.5,12,1970-12-04,1970,"Dec","1970-Dec"
19701205,0,7.8,3,12.5,1970-12-05,1970,"Dec","1970-Dec"
19701206,0,9.8,4.5,15,1970-12-06,1970,"Dec","1970-Dec"
19701207,0,8.5,3.5,13.5,1970-12-07,1970,"Dec","1970-Dec"
19701208,14,7.2,1.5,13,1970-12-08,1970,"Dec","1970-Dec"
19701209,7.6,6.2,0.5,12,1970-12-09,1970,"Dec","1970-Dec"
19701210,0,9.5,2,17,1970-12-10,1970,"Dec","1970-Dec"
19701211,9.7,10.8,4,17.5,1970-12-11,1970,"Dec","1970-Dec"
19701212,0,9.8,3.5,16,1970-12-12,1970,"Dec","1970-Dec"
19701213,7.4,7.8,2,13.5,1970-12-13,1970,"Dec","1970-Dec"
19701214,23.2,7.2,2.5,12,1970-12-14,1970,"Dec","1970-Dec"
19701215,0,5,-1,11,1970-12-15,1970,"Dec","1970-Dec"
19701216,0,6,2,10,1970-12-16,1970,"Dec","1970-Dec"
19701217,0,1,-6,8,1970-12-17,1970,"Dec","1970-Dec"
19701218,0,-0.8,-9,7.5,1970-12-18,1970,"Dec","1970-Dec"
19701219,0,1,-8,10,1970-12-19,1970,"Dec","1970-Dec"
19701220,0,2.5,-5.5,10.5,1970-12-20,1970,"Dec","1970-Dec"
19701221,0,1.8,-5,8.5,1970-12-21,1970,"Dec","1970-Dec"
19701222,0,3.8,-1.5,9,1970-12-22,1970,"Dec","1970-Dec"
19701223,0,2.2,-4,8.5,1970-12-23,1970,"Dec","1970-Dec"
19701224,0,3.5,-3,10,1970-12-24,1970,"Dec","1970-Dec"
19701225,0,5,-2,12,1970-12-25,1970,"Dec","1970-Dec"
19701226,0,3.8,-1.5,9,1970-12-26,1970,"Dec","1970-Dec"
19701227,8.5,2.5,-5.5,10.5,1970-12-27,1970,"Dec","1970-Dec"
19701228,0,4,-3,11,1970-12-28,1970,"Dec","1970-Dec"
19701229,0,0.5,-8,9,1970-12-29,1970,"Dec","1970-Dec"
19701230,0,1.2,-6,8.5,1970-12-30,1970,"Dec","1970-Dec"
19701231,3.1,4.5,-1.5,10.5,1970-12-31,1970,"Dec","1970-Dec"
19710101,NA,-1.2,-7.5,5,1971-01-01,1971,"Jan","1971-Jan"
